_id,bme680_IAQ,bme680_IAQ_Accuracy,bme680_Static_IAQ,bme680_gas_per_kOhms,bme680_humidity,bme680_pressure,bme680_rawHumidity,bme680_rawTemperature,bme680_temperature,ccs_TVOC,ccs_eCO2,created_at,esp32_ChipID,mhz19_ppm,nextpm_pm1,nextpm_pm10,nextpm_pm25
62f2ae8d626d4e008aca9c67,25,0,25,21.76,26.91681,1017.71,27.495,30.04,30.03965,80,930,2022-08-09T20:59:25.420Z,13837956,404,0.8,2.5,1.3
62f2b0ce626d4e008aca9c69,25,0,25,14.532,30.44014,1019.08,31.234,27.86,27.85968,8,455,2022-08-09T21:09:02.442Z,13631180,404,0.4,1,0.7
62f2b5b6626d4e008aca9c6b,25,0,25,21.076,27.25142,1017.99,27.85,29.91,29.90965,88,981,2022-08-09T21:29:58.178Z,13837956,404,0.8,1.5,1.1
62f2b829626d4e008aca9c6d,25,0,25,14.563,30.96559,1019.35,31.672,27.64,27.63968,3,423,2022-08-09T21:40:25.510Z,13631180,404,0.5,0.7,0.7
62f2bcdd626d4e008aca9c6f,25,0,25,19.867,27.68282,1018.35,28.304,29.85,29.84965,253,1607,2022-08-09T22:00:29.509Z,13837956,404,0.7,1.7,0.9
62f2bf80626d4e008aca9c71,25,0,25,14.441,31.33369,1019.58,32.064,27.51,27.50968,5,436,2022-08-09T22:11:44.718Z,13631180,404,0.5,1,0.7
62f2c405626d4e008aca9c73,25,0,25,18.638,28.06316,1018.51,28.706,29.83,29.82965,11,476,2022-08-09T22:31:01.838Z,13837956,401,0.7,1.4,1
62f2c6dd626d4e008aca9c75,25,0,25,14.401,31.89027,1019.78,32.544,27.36,27.35968,2,417,2022-08-09T22:43:09.645Z,13631180,404,0.5,0.6,0.5
62f2cb2e626d4e008aca9c77,25,0,25,17.006,28.27112,1018.62,28.945,29.83,29.82965,209,1555,2022-08-09T23:01:34.295Z,13837956,402,0.6,1.6,0.9
62f2ce36626d4e008aca9c79,25,0,25,14.362,32.05171,1019.72,32.815,27.32,27.31968,1,407,2022-08-09T23:14:30.946Z,13631180,404,0.4,1.1,0.8
62f2d256626d4e008aca9c7b,25,0,25,16.402,28.40514,1018.56,29.056,29.79,29.78965,17,515,2022-08-09T23:32:06.800Z,13837956,404,0.7,0.9,0.9
62f2d592626d4e008aca9c7d,25,0,25,14.411,32.49112,1019.72,33.235,27.16,27.15968,2,415,2022-08-09T23:45:54.704Z,13631180,404,0.4,0.7,0.6
62f2d97f626d4e008aca9c7f,25,0,25,15.827,28.7124,1018.58,29.357,29.78,29.77965,35,631,2022-08-10T00:02:39.180Z,13837956,404,0.7,1.2,1.1
62f2dced626d4e008aca9c81,25,0,25,14.441,32.58821,1019.74,33.443,27.09,27.08968,2,417,2022-08-10T00:17:17.072Z,13631180,404,0.5,1.2,0.8
62f2e0a7626d4e008aca9c83,25,0,25,15.731,28.94511,1018.53,29.595,29.77,29.76966,29,594,2022-08-10T00:33:11.847Z,13837956,404,0.8,1.3,1.2
62f2e448626d4e008aca9c85,25,0,25,14.322,32.84904,1019.66,33.68,27,26.99968,2,416,2022-08-10T00:48:40.151Z,13631180,404,0.4,0.9,0.6
62f2e7d0626d4e008aca9c87,25,0,25,15.508,29.16946,1018.49,29.865,29.78,29.77965,73,882,2022-08-10T01:03:44.333Z,13837956,404,0.8,1.9,1.3
62f2ebb2626d4e008aca9c89,25,0,25,14.482,33.1823,1019.43,33.975,26.9,26.89968,2,417,2022-08-10T01:20:18.363Z,13631180,403,0.4,0.8,0.5
62f2eefc626d4e008aca9c8b,25,0,25,15.532,29.25561,1018.29,29.994,29.79,29.78966,26,574,2022-08-10T01:34:20.824Z,13837956,404,0.8,2,1.4
62f2f30d626d4e008aca9c8d,25,0,25,14.563,33.36546,1019.37,34.195,26.78,26.77968,2,414,2022-08-10T01:51:41.401Z,13631180,404,0.4,0.9,0.9
62f2f625626d4e008aca9c8f,25,0,25,15.382,29.68282,1018.21,30.377,29.74,29.73965,23,555,2022-08-10T02:04:53.230Z,13837956,403,0.7,1.6,1.1
62f2fa68626d4e008aca9c91,25,0,25,14.462,33.65261,1019.19,34.458,26.66,26.65968,2,416,2022-08-10T02:23:04.407Z,13631180,404,0.4,0.6,0.6
62f2fd4d626d4e008aca9c93,25,0,25,15.169,29.756,1018.15,30.452,29.72,29.71965,34,627,2022-08-10T02:35:25.463Z,13837956,400,0.7,1.3,1.1
62f301bf626d4e008aca9c95,25,0,25,14.421,33.81343,1019.21,34.607,26.59,26.58968,4,427,2022-08-10T02:54:23.721Z,13631180,404,0.4,0.7,0.7
62f30475626d4e008aca9c97,25,0,25,15.136,29.94358,1017.99,30.658,29.7,29.69966,35,631,2022-08-10T03:05:57.711Z,13837956,402,0.7,0.9,0.9
62f30929626d4e008aca9c99,25,0,25,14.362,34.04474,1019.17,34.828,26.51,26.50968,2,415,2022-08-10T03:26:01.604Z,13631180,404,0.4,0.5,0.5
62f30b9e626d4e008aca9c9b,25,0,25,15.059,29.98459,1017.93,30.714,29.69,29.68966,37,646,2022-08-10T03:36:30.081Z,13837956,401,0.6,1.4,0.8
62f31097626d4e008aca9c9d,25,0,25,14.283,34.19711,1019.06,34.968,26.44,26.43968,0,402,2022-08-10T03:57:43.661Z,13631180,404,0.4,0.7,0.4
62f312c6626d4e008aca9c9f,25,0,25,14.707,30.15527,1017.79,30.847,29.64,29.63965,30,603,2022-08-10T04:07:02.205Z,13837956,404,0.7,1.1,0.9
62f317ef626d4e008aca9ca1,25,0,25,14.482,34.18488,1019.06,35.07,26.38,26.37968,3,420,2022-08-10T04:29:03.283Z,13631180,404,0.4,0.8,0.5
62f319ee626d4e008aca9ca3,25,0,25,14.728,30.30268,1017.81,31.012,29.62,29.61966,34,629,2022-08-10T04:37:34.477Z,13837956,404,0.7,1.3,1.2
62f31f4a626d4e008aca9ca5,25,0,25,14.381,34.47802,1019.15,35.289,26.29,26.28968,3,421,2022-08-10T05:00:26.083Z,13631180,404,0.4,0.5,0.5
62f32116626d4e008aca9ca7,25,0,25,14.604,30.39541,1017.95,31.107,29.6,29.59965,37,643,2022-08-10T05:08:06.621Z,13837956,401,0.8,1.5,1.4
62f326b3626d4e008aca9ca9,25,0,25,14.451,34.45938,1019.06,35.336,26.25,26.24968,6,443,2022-08-10T05:32:03.839Z,13631180,405,0.4,0.6,0.6
62f3283e626d4e008aca9cab,25,0,25,14.492,30.41964,1017.81,31.146,29.59,29.58965,41,675,2022-08-10T05:38:38.874Z,13837956,404,0.7,1.1,1
62f32e11626d4e008aca9cad,25,0,25,14.401,34.77536,1019.11,35.611,26.12,26.11968,5,436,2022-08-10T06:03:29.519Z,13631180,405,0.4,0.5,0.5
62f32f68626d4e008aca9caf,25,0,25,14.342,30.50073,1017.83,31.215,29.56,29.55965,70,863,2022-08-10T06:09:12.011Z,13837956,402,0.7,1.8,1
62f3357d626d4e008aca9cb1,25,0,25,14.292,34.83164,1019.17,35.669,26.06,26.05968,6,443,2022-08-10T06:35:09.477Z,13631180,405,0.4,0.6,0.6
62f33699626d4e008aca9cb3,25,0,25,14.543,32.77991,1017.91,33.458,29.19,29.18966,53,749,2022-08-10T06:39:53.278Z,13837956,404,1.1,3.8,1.9
62f33cea626d4e008aca9cb5,25,0,25,14.166,35.04462,1019.33,35.837,26.04,26.03968,7,451,2022-08-10T07:06:50.805Z,13631180,405,0.4,0.8,0.8
62f33dbf626d4e008aca9cb7,25,0,25,15.555,33.31646,1018.15,34.039,28.75,28.74965,34,627,2022-08-10T07:10:23.875Z,13837956,402,1.3,3.5,1.9
62f34454626d4e008aca9cb9,25,0,25,14.07,34.76847,1019.48,35.637,26.15,26.14968,7,447,2022-08-10T07:38:28.835Z,13631180,406,0.4,0.6,0.6
62f344e7626d4e008aca9cbb,25,0,25,16.223,33.61918,1018.27,34.413,28.45,28.44965,105,1090,2022-08-10T07:40:55.327Z,13837956,403,1.3,4.6,2
62f34bb0626d4e008aca9cbd,25,0,25,14.624,36.51334,1019.47,37.01,25.87,25.86968,0,400,2022-08-10T08:09:52.701Z,13631180,406,1.2,3.8,2.6
62f34c0e626d4e008aca9cbf,25,0,25,16.773,34.08363,1018.23,34.922,28.2,28.19965,232,1585,2022-08-10T08:11:26.455Z,13837956,401,1.5,4.3,2.2
62f35307626d4e008aca9cc1,25,0,25,15.986,37.15496,1019.62,38.088,25.45,25.44968,0,405,2022-08-10T08:41:11.974Z,13631180,403,1.7,6.9,3.4
62f35337626d4e008aca9cc3,25,0,25,15.439,33.13235,1018.35,33.99,28.85,28.84966,93,1017,2022-08-10T08:41:59.604Z,13837956,403,1.2,3.8,2.3
62f35a61626d4e008aca9cc5,25,0,25,15.136,32.91507,1018.47,33.735,29.05,29.04965,20,533,2022-08-10T09:12:33.384Z,13837956,403,1.7,5.9,2.8
62f35a6a626d4e008aca9cc7,25,0,25,16.854,36.81632,1019.62,37.881,25.67,25.66968,7,446,2022-08-10T09:12:42.360Z,13631180,405,1.6,5.5,3.3
62f36189626d4e008aca9cc9,25,0,25,15.428,32.08149,1018.39,32.834,29.34,29.33965,43,686,2022-08-10T09:43:05.643Z,13837956,400,1.6,6.7,2.7
62f361c5626d4e008aca9ccb,25,0,25,17.189,35.7795,1019.6,36.811,26.08,26.07968,0,400,2022-08-10T09:44:05.641Z,13631180,406,1.7,5.3,4
62f368b1626d4e008aca9ccd,25,0,25,16.402,33.29812,1018.51,33.404,28.76,28.75965,24,564,2022-08-10T10:13:37.574Z,13837956,404,5.9,12.3,8.3
62f36920626d4e008aca9ccf,25,0,25,17.02,34.90733,1019.7,35.694,26.48,26.47968,74,889,2022-08-10T10:15:28.460Z,13631180,408,1.5,6.5,3
62f36fd8626d4e008aca9cd1,25,0,25,18.358,33.11641,1018.25,33.961,28.39,28.38965,535,1863,2022-08-10T10:44:08.519Z,13837956,404,2.2,9.3,4.2
62f37700626d4e008aca9cd3,25,0,25,19.495,32.57879,1018.07,33.559,28.99,28.98965,0,400,2022-08-10T11:14:40.668Z,13837956,402,2.1,7.5,3.9
62f377d7626d4e008aca9cd5,25,0,25,15.839,33.63975,1019.33,34.602,27.12,27.11968,11,473,2022-08-10T11:18:15.151Z,13631180,409,0.8,2.1,1.7
62f37e2a626d4e008aca9cd7,25,0,25,20.137,30.49425,1017.81,31.379,29.6,29.59965,34,626,2022-08-10T11:45:14.468Z,13837956,404,2.1,11.9,4.1
62f37f33626d4e008aca9cd9,25,0,25,15.081,32.98541,1019.09,33.958,27.45,27.44968,4,428,2022-08-10T11:49:39.409Z,13631180,408,0.8,2.6,1.5
62f38553626d4e008aca9cdb,25,0,25,20.414,29.39058,1017.58,30.131,30.04,30.03965,30,600,2022-08-10T12:15:47.676Z,13837956,401,2.1,7.2,3.5
62f3868d626d4e008aca9cdd,25,0,25,14.655,31.47178,1018.82,32.498,28.33,28.32968,0,403,2022-08-10T12:21:01.639Z,13631180,405,0.8,1.8,1.5
62f38c7c626d4e008aca9cdf,25,0,25,20.535,29.0927,1017.26,29.757,30.26,30.25965,101,1065,2022-08-10T12:46:20.477Z,13837956,401,1.9,8.5,3.5
62f38df0626d4e008aca9ce1,25,0,25,14.283,31.07442,1018.55,31.778,28.65,28.64968,1,407,2022-08-10T12:52:32.627Z,13631180,405,0.6,2.7,1.2
62f393a5626d4e008aca9ce3,25,0,25,20.596,27.98215,1016.97,28.647,30.26,30.25965,0,0,2022-08-10T13:16:53.132Z,13837956,404,1.5,5.5,2.3
62f3954a626d4e008aca9ce5,25,0,25,14.243,30.01576,1018.11,30.848,29.04,29.03968,0,403,2022-08-10T13:23:54.396Z,13631180,403,0.6,2,1.2
62f39acc626d4e008aca9ce7,25,0,25,20.928,25.62155,1016.71,26.23,30.33,30.32965,0,0,2022-08-10T13:47:24.943Z,13837956,403,1.8,8.6,3.4
62f39ca4626d4e008aca9ce9,25,0,25,14.051,29.92681,1017.89,30.701,28.94,28.93968,3,420,2022-08-10T13:55:16.445Z,13631180,405,0.9,2.5,1.4
62f3a1f5626d4e008aca9ceb,25,0,25,21.336,25.06357,1016.4,25.647,30.37,30.36966,7,447,2022-08-10T14:17:57.934Z,13837956,404,1.9,7,3.2
62f3a402626d4e008aca9ced,25,0,25,13.947,28.88693,1017.74,29.78,29.49,29.48968,6,444,2022-08-10T14:26:42.928Z,13631180,402,0.8,2.1,1.4
62f3a91e626d4e008aca9cef,25,0,25,21.806,24.89141,1016.14,25.482,30.45,30.44966,0,0,2022-08-10T14:48:30.873Z,13837956,403,1.3,3.8,2.4
62f3ab63626d4e008aca9cf1,25,0,25,13.854,28.36666,1017.46,29.189,29.72,29.71968,0,400,2022-08-10T14:58:11.101Z,13631180,402,0.7,1,0.9
62f3b047626d4e008aca9cf3,25,0,25,22.274,25.29128,1015.89,25.891,30.53,30.52965,0,0,2022-08-10T15:19:03.986Z,13837956,401,1.2,4.3,2.2
62f3b2c1626d4e008aca9cf5,25,0,25,14.051,29.35824,1017.13,30.035,28.99,28.98968,4,432,2022-08-10T15:29:37.224Z,13631180,407,0.9,2.2,1.6
62f3b770626d4e008aca9cf7,25,0,25,22.321,24.62024,1015.61,25.124,30.66,30.65965,0,0,2022-08-10T15:49:36.206Z,13837956,402,1.2,6.7,2.6
62f3ba1f626d4e008aca9cf9,25,0,25,13.994,29.08297,1016.9,29.835,29,28.99968,5,438,2022-08-10T16:01:03.835Z,13631180,408,0.6,2.4,1.6
62f3be98626d4e008aca9cfb,25,0,25,22.345,23.88835,1015.33,24.41,30.7,30.69965,0,0,2022-08-10T16:20:08.269Z,13837956,404,1.2,4.6,2.1
62f3c179626d4e008aca9cfd,25,0,25,13.91,28.70458,1016.62,29.433,29.07,29.06968,5,439,2022-08-10T16:32:25.539Z,13631180,407,0.5,2.2,1.3
62f3c5c0626d4e008aca9cff,25,0,25,22.539,22.82364,1015.02,23.574,31.07,31.06965,0,0,2022-08-10T16:50:40.689Z,13837956,403,1,5.9,1.9
62f3c8d3626d4e008aca9d01,25,0,25,14.013,28.70244,1016.39,29.418,28.95,28.94968,0,405,2022-08-10T17:03:47.896Z,13631180,407,0.5,1.5,1.1
62f3cce9626d4e008aca9d03,25,0,25,22.937,22.71505,1014.86,23.177,31.49,31.48965,0,0,2022-08-10T17:21:13.359Z,13837956,404,1.1,3.4,1.9
62f3d02f626d4e008aca9d05,25,0,25,14.137,28.91758,1016.25,29.612,28.84,28.83968,6,444,2022-08-10T17:35:11.390Z,13631180,409,0.5,1.6,1
